arm,opponent,game_index,seat,outcome,end_reason,turns,candidate_prize_remaining,opponent_prize_remaining
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,41,second,loss,PRIZES,152,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,45,second,loss,PRIZES,95,6,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,46,first,win,PRIZES,152,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,48,first,loss,PRIZES,123,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,49,second,loss,PRIZES,136,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,47,second,loss,PRIZES,142,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,52,first,win,PRIZES,119,0,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,50,first,win,PRIZES,148,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,53,second,loss,PRIZES,100,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,51,second,loss,PRIZES,161,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,54,first,win,PRIZES,163,0,1
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,55,second,loss,PRIZES,91,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,56,first,loss,PRIZES,160,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,57,second,loss,PRIZES,99,6,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,60,first,win,NO_BENCH,16,5,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,58,first,win,PRIZES,142,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,59,second,loss,PRIZES,153,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,61,second,win,PRIZES,149,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,63,second,loss,PRIZES,135,3,0
