opponent,arm,game_index,seat,outcome
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,34,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,35,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,36,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,37,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,38,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,39,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,40,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,41,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,42,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,43,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,44,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,45,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,46,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,47,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,48,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,49,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,50,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,51,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,52,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,53,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,54,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,55,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,56,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,57,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,58,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,59,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,60,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,61,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,62,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,63,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,64,first,loss
